year,clock_position_10pt,velocity,acceleration
1969,-1.9013674361899282,,
1970,-1.0168718355558393,,
1971,-0.568511874097112,,
1972,0.3001388853134843,2.2015063215034125,
1973,-0.3746120142793625,0.6422598212764767,
1974,-0.5908698520358842,-0.022357977938772144,
1975,-0.09555264387886275,-0.39569152919234707,-2.5971978506957596
1976,0.15475778912798255,0.5293698034073451,-0.11289001786913166
1977,1.3994757396989055,1.9903455917347896,2.012703569673562
1978,1.3382193189304727,1.4337719628093355,1.8294634920016826
1979,1.7705176536178815,1.615759864489899,1.0863900610825539
1980,1.683064344266981,0.28358860456807555,-1.706756987166714
1981,2.5272285382593287,1.189009219328856,-0.24476274348047955
1982,4.318639159750509,2.5481215061326274,0.9323616416427285
1983,4.0011022468226685,2.3180379025556874,2.034449297987612
1984,3.65586935103979,1.1286408127804615,-0.06036840654839448
1985,4.011858357522714,-0.30678080222779514,-2.8549023083604226
1986,3.886274881831568,-0.11482736499110047,-2.432865267546788
1987,3.5862086370499267,-0.06966071398986351,-1.198301526770325
1988,3.4631481185863766,-0.5487102389363372,-0.24192943670854206
1989,3.7277229613949956,-0.1585519204365724,-0.043724555445471935
1990,2.9525621364570274,-0.6336465005928993,-0.5639857866030358
1991,2.860384526696879,-0.6027635918894978,-0.054053352953160605
1992,3.294153061113363,-0.43356990028163267,-0.27501797984506027
1993,4.841051797407609,1.8884896609505812,2.5221361615434805
1994,4.089938756303834,1.229554229606955,1.8323178214964528
1995,3.418016524869069,0.1238634637557059,0.5574333640373386
1996,3.434833511679889,-1.4062182857277197,-3.294707946678301
1997,3.443520094585349,-0.646418661718485,-1.87597289132544
1998,3.279932023918061,-0.13808450095100788,-0.2619479647067138
1999,3.0348218669488993,-0.4000116447309896,1.00620664099673
2000,3.096753114464871,-0.3467669801204778,0.29965168159800726
2001,3.0437327056987904,-0.23619931821927054,-0.09811481726826266
2002,2.844802731741961,-0.19001913520693847,0.20999250952405113
2003,2.823501030690534,-0.2732520837743371,0.07351489634614072
2004,2.8050253033009263,-0.23870740239786414,-0.002508084178593606
2005,2.7889796166374516,-0.05582311510450921,0.13419602010242926
2006,2.870008579568654,0.04650754887811992,0.319759632652457
2007,2.1839090254208102,-0.621116277880116,-0.3824088754822519
2008,2.4113635521329293,-0.37761606450452234,-0.32179294940001313
2009,2.5724013497906375,-0.29760722977801635,-0.34411477865613627
2010,2.3500088334115343,0.1660998079907241,0.7872160858708401
2011,2.7401193110734523,0.328755758940523,0.7063718234450453
2012,2.691222031364026,0.11882068157338832,0.41642791135140467
2013,2.778581433916866,0.42857260050533164,0.26247279251460753
2014,2.555605342301628,-0.18451396877182447,-0.5132697277123475
2015,2.3075393779609934,-0.3836826534030324,-0.5025033349764207
2016,2.4216313268501723,-0.3569501070666936,-0.7855227075720252
2017,2.6118544898239513,0.05624914752232346,0.24076311629414793
2018,2.2849634396808884,-0.022575938280104957,0.36110671512292747
2019,2.314806056619463,-0.10682527023070953,0.2501248368359841
2020,2.4260832745224157,-0.18577121530153562,-0.24202036282385908
2021,2.5298341925130385,0.2448707528321501,0.26744669111225505
2022,2.3019968043347525,-0.012809252284710304,0.09401601794599923
2023,2.0056181642425885,-0.42046511027982714,-0.23469389497829152
2024,2.1313903485308447,-0.3984438439821938,-0.6433145968143439
